timestamp,rater,conv_id,Respect,Support,Education,Planning,Engagement,Communication,notes
2026-03-03T18:26:37.681Z,Pat,191,4,3,3,4,4,3,
2026-03-03T18:27:51.808Z,Pat,183,3,4,5,4,4,4,
2026-03-03T18:28:10.837Z,Pat,108,3,3,3,3,2,2,
2026-03-03T18:28:44.994Z,Pat,140,3,3,3,3,2,2,
2026-03-03T18:29:03.424Z,Pat,167,3,3,2,3,2,3,
2026-03-03T18:29:34.411Z,Pat,35,4,3,4,4,3,3,
2026-03-03T18:29:54.509Z,Pat,114,4,3,3,3,4,4,
2026-03-03T19:00:19.506Z,Josh,152,3,3,3,2,2,3,
2026-03-03T19:15:08.028Z,Josh,20,5,5,4,2,5,5,
2026-03-03T19:15:26.907Z,Josh,189,3,2,2,2,2,3,
2026-03-03T19:16:09.371Z,Josh,105,3,2,2,2,3,2,
2026-03-03T19:25:37.788Z,Josh,43,5,5,5,2,5,5,
2026-03-03T21:27:34.666Z,Beth,152,3,3,2,2,2,3,
2026-03-03T21:28:32.971Z,Beth,20,5,5,3,4,5,5,
2026-03-03T21:29:19.062Z,Beth,189,2,2,2,2,2,2,
2026-03-03T21:30:01.418Z,Beth,105,3,3,2,2,1,2,
2026-03-03T21:31:49.800Z,Beth,43,4,4,3,3,4,4,
2026-03-03T21:32:25.732Z,Beth,104,4,3,4,4,3,4,
2026-03-03T21:34:10.253Z,Beth,153,3,3,3,3,3,4,
2026-03-03T21:35:06.677Z,Beth,3,4,3,2,2,3,4,
2026-03-03T21:36:03.473Z,Beth,181,3,3,3,3,3,4,
2026-03-03T21:36:42.218Z,Beth,126,5,4,3,4,5,5,
2026-03-03T21:37:40.073Z,Beth,9,5,5,5,5,5,5,
2026-03-03T21:38:25.854Z,Beth,46,5,5,3,3,4,5,
2026-03-03T21:39:22.619Z,Beth,122,2,2,3,3,2,3,
2026-03-03T21:39:47.086Z,Beth,176,4,5,5,4,4,5,
2026-03-03T21:40:31.314Z,Beth,133,2,2,3,2,1,3,
2026-03-03T21:40:50.271Z,Beth,159,3,3,3,3,3,3,
2026-03-03T21:42:32.874Z,Beth,161,3,2,2,3,3,3,
2026-03-03T21:44:10.015Z,Beth,28,5,5,5,5,5,5,
2026-03-03T21:44:53.102Z,Beth,48,4,2,3,3,2,3,
2026-03-03T21:45:12.079Z,Beth,82,3,3,3,3,3,3,
2026-03-03T21:45:35.445Z,Beth,16,3,3,3,4,3,3,
2026-03-03T21:46:10.015Z,Beth,64,4,4,3,3,4,3,
2026-03-03T21:46:42.462Z,Beth,37,2,3,3,2,1,3,
2026-03-03T21:47:23.674Z,Beth,120,5,5,4,4,4,5,
2026-03-03T21:47:51.203Z,Beth,174,3,3,3,3,3,4,
2026-03-03T21:48:15.920Z,Beth,97,4,4,3,3,5,4,
2026-03-03T21:48:36.884Z,Beth,76,3,3,3,3,3,3,
2026-03-03T21:49:29.837Z,Beth,162,2,1,1,2,2,3,
2026-03-03T21:52:21.328Z,Beth,199,4,4,4,5,4,5,
2026-03-03T21:53:00.738Z,Beth,15,5,5,5,5,5,5,
2026-03-03T21:54:55.689Z,Beth,165,4,4,2,1,3,4,
2026-03-03T21:55:10.970Z,Beth,91,3,3,3,3,3,3,
2026-03-03T21:55:22.534Z,Beth,118,3,3,3,3,3,3,
2026-03-03T21:56:40.919Z,Beth,92,4,4,3,3,4,4,
2026-03-03T21:57:47.372Z,Beth,186,5,4,4,3,4,3,
2026-03-03T21:58:37.551Z,Beth,137,4,4,5,5,5,4,
2026-03-03T22:00:06.899Z,Beth,158,5,5,4,4,5,5,
2026-03-03T22:00:42.737Z,Beth,160,5,4,4,5,4,4,
2026-03-03T22:01:36.436Z,Beth,59,5,3,5,4,4,3,
2026-03-03T22:02:27.412Z,Beth,131,5,5,5,5,5,5,
2026-03-03T22:02:57.843Z,Beth,157,3,3,3,3,3,3,
2026-03-03T22:03:58.714Z,Beth,169,3,2,3,2,2,3,
2026-03-03T22:04:32.654Z,Beth,192,3,2,2,3,2,2,
2026-03-03T22:05:30.100Z,Beth,191,5,4,4,5,5,5,
2026-03-03T22:06:50.220Z,Beth,183,4,4,5,5,4,4,
2026-03-03T22:07:03.462Z,Beth,108,3,3,3,3,3,3,
2026-03-03T22:07:31.583Z,Beth,140,3,3,3,3,3,3,
2026-03-03T22:07:48.603Z,Beth,167,3,3,3,3,3,3,
2026-03-03T22:09:35.030Z,Beth,35,5,5,5,4,4,5,
2026-03-03T22:09:56.323Z,Beth,114,4,3,3,3,3,4,
